x/y,0,15,30,45,60,75,90,105,120,135,150,165,180,195,210,225,240,255,270,285
0,"1.023","1.041","1.033","1.073","1.105","1.189","1.225","1.253","1.284","1.322","1.359","1.389","1.438","1.465","1.5","1.522","1.584","1.6","1.652","1.695"
15,"1.038","1.035","1.042","1.075","1.111","1.195","1.226","1.255","1.285","1.326","1.357","1.398","1.438","1.467","1.497","1.531","1.579","1.607","1.653","1.701"
30,"1.039","1.047","1.053","1.077","1.115","1.196","1.232","1.252","1.286","1.331","1.362","1.406","1.432","1.46","1.496","1.528","1.57","1.609","1.643","1.704"
45,"1.049","1.046","1.058","1.086","1.112","1.201","1.231","1.254","1.287","1.323","1.356","1.394","1.437","1.459","1.502","1.523","1.572","1.605","1.633","1.716"
60,"1.042","1.046","1.058","1.084","1.116","1.204","1.237","1.253","1.286","1.318","1.355","1.398","1.434","1.461","1.493","1.518","1.564","1.608","1.627","1.735"
75,"1.044","1.04","1.054","1.083","1.111","1.202","1.231","1.247","1.277","1.318","1.357","1.396","1.432","1.462","1.49","1.519","1.56","1.609","1.635","1.719"
90,"1.047","1.045","1.053","1.082","1.113","1.213","1.234","1.241","1.286","1.324","1.351","1.397","1.436","1.455","1.501","1.517","1.563","1.6","1.636","1.717"
105,"1.043","1.035","1.053","1.088","1.118","1.211","1.246","1.249","1.295","1.325","1.356","1.404","1.434","1.462","1.497","1.514","1.557","1.601","1.637","1.71"
120,"1.051","1.032","1.051","1.089","1.125","1.206","1.243","1.248","1.296","1.324","1.357","1.403","1.429","1.461","1.501","1.512","1.547","1.58","1.628","1.722"
135,"1.055","1.035","1.049","1.087","1.122","1.208","1.241","1.247","1.296","1.326","1.356","1.405","1.429","1.457","1.485","1.508","1.536","1.592","1.63","1.718"
150,"1.052","1.036","1.052","1.082","1.128","1.217","1.233","1.255","1.298","1.325","1.356","1.406","1.427","1.47","1.491","1.522","1.553","1.58","1.635","1.692"
165,"1.048","1.039","1.052","1.081","1.129","1.206","1.227","1.254","1.291","1.323","1.352","1.389","1.423","1.466","1.493","1.523","1.562","1.587","1.643","1.73"
180,"1.038","1.033","1.051","1.086","1.124","1.207","1.229","1.248","1.289","1.319","1.36","1.398","1.434","1.46","1.504","1.53","1.57","1.602","1.667","1.728"
195,"1.032","1.032","1.046","1.083","1.121","1.204","1.228","1.247","1.293","1.322","1.362","1.399","1.423","1.455","1.5","1.527","1.567","1.606","1.67","1.733"
